p, pe, 0, 1, 0
z, zeta, 0, 1, 0
p, pe, 0, 1, 0
l, ele, 0, 1, 0
c, ce, 0, 1, 0
u, u, 1, 0, 0
7, siete, 0, 0, 1
h, hache, 0, 1, 0
l, ele, 0, 1, 0
n, ene, 0, 1, 0
a, a, 1, 0, 0
i, i, 1, 0, 0
s, ese, 0, 1, 0
3, tres, 0, 0, 1
o, o, 1, 0, 0
j, jota, 0, 1, 0
k, ka, 0, 1, 0
q, cu, 0, 1, 0
k, ka, 0, 1, 0
z, zeta, 0, 1, 0
0, cero, 0, 0, 1
j, jota, 0, 1, 0
d, de, 0, 1, 0
x, equis, 0, 1, 0
y, ye, 0, 1, 0
e, e, 1, 0, 0
i, i, 1, 0, 0
9, nueve, 0, 0, 1
l, ele, 0, 1, 0
o, o, 1, 0, 0
v, uve, 0, 1, 0
n, ene, 0, 1, 0
d, de, 0, 1, 0
r, erre, 0, 1, 0
8, ocho, 0, 0, 1
w, uve doble, 0, 1, 0
o, o, 1, 0, 0
v, uve, 0, 1, 0
s, ese, 0, 1, 0
p, pe, 0, 1, 0
t, te, 0, 1, 0
1, uno, 0, 0, 1
h, hache, 0, 1, 0
g, ge, 0, 1, 0
m, eme, 0, 1, 0
m, eme, 0, 1, 0
q, cu, 0, 1, 0
f, efe, 0, 1, 0
4, cuatro, 0, 0, 1
v, uve, 0, 1, 0
j, jota, 0, 1, 0
c, ce, 0, 1, 0
m, eme, 0, 1, 0
k, ka, 0, 1, 0
s, ese, 0, 1, 0
6, seis, 0, 0, 1
i, i, 1, 0, 0
v, uve, 0, 1, 0
ñ, eñe, 0, 1, 0
g, ge, 0, 1, 0
p, pe, 0, 1, 0
v, uve, 0, 1, 0
2, dos, 0, 0, 1
f, efe, 0, 1, 0
m, eme, 0, 1, 0
c, ce, 0, 1, 0
q, cu, 0, 1, 0
p, pe, 0, 1, 0
l, ele, 0, 1, 0
5, cinco, 0, 0, 1
s, ese, 0, 1, 0
v, uve, 0, 1, 0
x, equis, 0, 1, 0
z, zeta, 0, 1, 0
z, zeta, 0, 1, 0
r, erre, 0, 1, 0
0, cero, 0, 0, 1
a, a, 1, 0, 0
i, i, 1, 0, 0
o, o, 1, 0, 0
x, equis, 0, 1, 0
l, ele, 0, 1, 0
y, ye, 0, 1, 0
9, nueve, 0, 0, 1
h, hache, 0, 1, 0
y, ye, 0, 1, 0
i, i, 1, 0, 0
l, ele, 0, 1, 0
w, uve doble, 0, 1, 0
t, te, 0, 1, 0
1, uno, 0, 0, 1
o, o, 1, 0, 0
k, ka, 0, 1, 0
u, u, 1, 0, 0
r, erre, 0, 1, 0
a, a, 1, 0, 0
r, erre, 0, 1, 0
8, ocho, 0, 0, 1
l, ele, 0, 1, 0
b, be, 0, 1, 0
o, o, 1, 0, 0
s, ese, 0, 1, 0
o, o, 1, 0, 0
z, zeta, 0, 1, 0
7, siete, 0, 0, 1
d, de, 0, 1, 0
t, te, 0, 1, 0
u, u, 1, 0, 0
f, efe, 0, 1, 0
u, u, 1, 0, 0
z, zeta, 0, 1, 0
4, cuatro, 0, 0, 1
q, cu, 0, 1, 0
c, ce, 0, 1, 0
l, ele, 0, 1, 0
l, ele, 0, 1, 0
v, uve, 0, 1, 0
b, be, 0, 1, 0
2, dos, 0, 0, 1
j, jota, 0, 1, 0
h, hache, 0, 1, 0
j, jota, 0, 1, 0
r, erre, 0, 1, 0
c, ce, 0, 1, 0
o, o, 1, 0, 0
6, seis, 0, 0, 1
e, e, 1, 0, 0
g, ge, 0, 1, 0
p, pe, 0, 1, 0
g, ge, 0, 1, 0
x, equis, 0, 1, 0
e, e, 1, 0, 0
3, tres, 0, 0, 1
u, u, 1, 0, 0
b, be, 0, 1, 0
b, be, 0, 1, 0
h, hache, 0, 1, 0
e, e, 1, 0, 0
f, efe, 0, 1, 0
5, cinco, 0, 0, 1
h, hache, 0, 1, 0
5, cinco, 0, 0, 1
s, ese, 0, 1, 0
3, tres, 0, 0, 1
h, hache, 0, 1, 0
2, dos, 0, 0, 1
y, ye, 0, 1, 0
7, siete, 0, 0, 1
v, uve, 0, 1, 0
r, erre, 0, 1, 0
x, equis, 0, 1, 0
z, zeta, 0, 1, 0
z, zeta, 0, 1, 0
